true,pred_baseline,pred_causal
68.77380952380953,138.30701610890353,99.99986946014833
133.2618840825814,158.63182348584414,117.99851274565923
89.66666666666666,150.262289113403,127.65454502215121
158.6676606744479,123.40373717131959,146.70338539385443
100.46428571428572,153.96157706398103,126.78094478885885
54.57142857142856,164.16743210916857,84.70618501777646
64.39285714285715,150.46110723774507,103.84984283167108
118.89229390485568,139.98577805641918,130.88225363275438
204.50169831029703,139.4460657083954,208.8670399625791
218.99516426541695,149.41204013231555,222.32042156108267
240.78605886073592,163.95047414560594,229.62232883306743
73.75,104.16927730003226,66.47370020743496
275.7010405242036,160.5426338467275,274.38598452199983
121.74143678492204,148.95256803932935,107.85700770830576
305.80285443099103,141.29845980766336,269.78005409720254
205.2449529746622,156.25581563645807,217.63793337249973
125.59282811019992,128.07371681865527,132.80211143319536
198.30790944058776,143.1371110341063,207.5468164734346
112.5,154.8000653421348,139.99839477503426
75.16666666666669,155.61865989937579,80.18896367184443
132.87226918870587,163.51493646118823,143.84033705136451
51.571428571428584,159.36369649873296,78.451514473616
59.25,158.84315149060333,68.56859904780141
187.41618163916436,123.88021962083016,150.94919254920455
122.48469144928714,158.68037501505967,114.72405561972022
149.36573514382573,165.77285014918422,132.07125721458013
208.58959896430537,137.8370906122993,212.6219417328257
79.91666666666667,164.32162220287162,89.14841234411323
200.78542498847148,140.9573731933951,214.16318124813048
62.21428571428572,147.21468385777558,97.47934367156694
