true,pred_baseline,pred_causal
136.77777777777777,144.33709715508215,141.18055555555546
157.33333333333334,142.57289454293726,161.31000000000012
94.2222222222222,150.60877692849306,112.35155555555568
93.66666666666666,149.36877863173143,106.26805555555556
158.55555555555554,152.11680047243013,146.2906666666668
169.33333333333331,150.3400141239344,128.79066666666685
193.22222222222223,144.02489731179415,162.9438888888889
90.94444444444446,149.36877863173143,106.26805555555556
116.0,145.212579845333,121.39444444444453
140.7222222222222,149.88095351729507,140.12801851851864
187.77777777777777,150.1429118952689,174.3773333333334
134.94444444444446,147.91462696544775,151.55377777777784
127.83333333333331,145.15361982214307,138.7605555555554
130.61111111111111,145.166296789298,144.25266666666658
177.22222222222223,146.30359838907893,145.84725925925937
200.6666666666667,148.96286829600552,182.69938888888908
169.33333333333331,144.93748146909752,153.95755555555553
149.33333333333331,155.19798743902422,138.3398148148149
164.61111111111111,149.90386051463273,140.46522222222234
208.988888888889,144.14244951574014,160.19111111111096
145.6111111111111,145.01417318343863,152.1344444444443
138.16666666666666,144.84031763388506,135.03888888888886
130.2777777777778,155.19798743902422,141.60892592592606
139.55555555555554,142.03790006034623,132.68944444444435
101.61111111111109,143.65693435106877,113.19138888888881
170.66666666666666,144.47087459108374,154.74499999999995
149.72222222222223,149.70827302138497,137.3501203703705
127.33333333333334,143.5251859061644,154.20033333333325
90.11111111111111,143.90826749098983,98.28500000000005
160.05555555555554,149.70827302138497,137.3501203703705
121.22222222222224,145.0575583319006,118.29166666666671
166.2777777777778,149.16548249165183,162.80355555555562
165.49999999999997,143.50716606886746,134.39999999999992
154.77777777777777,140.90289887891416,135.43944444444432
141.55555555555557,143.6443567594579,149.66111111111096
